street,BlockedConstruction,BrokenSidewalk,LoudMusic,LoudTalking,SidewalkDefective,SidewalkViolation,count
BROADWAY,53,418,1031,790,11,66,2369
NAGLE AVENUE,0,10,296,599,0,2,907
AMSTERDAM AVENUE,13,73,554,108,0,14,762
ELLWOOD ST,0,3,627,39,0,,669
WEST 136 ST,1,4,453,182,0,2,642
SAINT NICHOLAS AVENUE,0,8,380,241,0,1,630
SHERMAN AVENUE,1,1,562,58,0,2,624
VERMILYEA AVENUE,0,1,558,45,0,0,604
WEST 149 ST,2,,220,324,0,4,550
EAST 46 ST,3,2,237,257,0,0,499
THAYER ST,0,2,376,115,0,0,493
WEST 112 ST,1,8,211,268,0,0,488
WEST 180 ST,0,7,397,73,0,0,477
AUDUBON AVENUE,2,8,413,48,2,2,475
RIVERSIDE DRIVE,3,43,301,92,1,12,452
ACADEMY ST,0,1,394,58,0,0,453
WEST 141 ST,1,3,178,251,0,2,435